Player_ID,AerWon,AerLost,AerWon%
1,0.34,1.19,22.2
2,2.18,1.23,64
3,0.93,1.05,47.1
4,0.5,0.5,50
5,0.31,0.39,44.4
6,0,10,0
7,1.43,1.43,50
8,0.83,3.33,20
9,1,2,33.3
10,0.42,1.32,24.1
11,2.56,2.39,51.7
12,2.76,1.63,63
13,0,0,0
14,1.19,0.92,56.5
15,2.97,5.03,37.1
16,0.89,0.63,58.6
17,1.54,3.85,28.6
18,2.13,0.41,83.9
19,5,4.17,54.5
20,0.82,0.24,77.8
21,1.53,2.22,40.7
22,0,2.31,0
23,0.58,1.05,35.7
24,2,4,33.3
25,1.85,1.35,57.9
26,3.13,0.63,83.3
27,2,2,50
28,0.95,1.03,48
29,0.56,1.25,31
30,1.75,1.05,62.5
31,0.74,1.32,35.7
32,0,0,0
33,0.45,1.03,30.4
34,0,15,0
35,1.51,1.4,51.9
36,1.75,1.85,48.6
37,1.2,0.8,60
38,1.29,1.39,48.1
39,1.67,0.61,73.1
40,1.76,1.29,57.7
41,5.81,3.84,60.2
42,10,7.69,56.5
43,0.84,1.4,37.5
44,1.72,1.33,56.4
45,0.52,0.62,45.8
46,0.71,1.07,40
47,0.38,2.31,14.3
48,0.9,0.6,60
49,2.46,1.93,56
50,0.33,0.39,45.5
51,1.2,0.4,75
52,3.93,5.71,40.7
53,0.58,0.97,37.5
54,0.26,0.6,30
55,1.72,0.95,64.4
56,0.38,0.38,50
57,1.09,1.88,36.8
58,0,1.33,0
59,1.52,1.34,53.1
60,3.14,1.71,64.7
61,1.73,1.23,58.3
62,0.8,0,100
63,0.56,1.3,30
64,0.69,0.44,61.1
65,0,0,0
66,0.72,1.69,30
67,0.29,2.29,11.1
68,0.71,5,12.5
69,0.2,0.05,80
70,0.29,0.66,30.8
71,2.5,5,33.3
72,0.65,1.15,36
73,0.2,0.45,30.8
74,1.59,1.16,57.9
75,2.42,1.79,57.5
76,0,0,0
77,0,0,0
78,2.22,2.22,50
79,0.78,1.72,31.3
80,2.42,2.73,47.1
81,2.01,1.49,57.4
82,1.33,1.11,54.5
83,1.91,1.51,55.8
84,0.36,0.91,28.6
85,3.81,1.43,72.7
86,1.62,1.62,50
87,1.67,0,100
88,3.3,1.82,64.4
89,0,0.99,0
90,2.32,1.32,63.6
91,0.54,0.54,50
92,2.44,1.1,69
93,3.85,1.54,71.4
94,0.43,0.8,34.8
95,3.33,2.05,61.9
96,2.95,3.38,46.6
97,1.4,1.27,52.4
98,0.4,0.85,31.8
99,2.46,1.23,66.7
100,0.92,1.03,47.1
101,3.33,1.67,66.7
102,1.86,1.66,52.9
103,0,0.29,0
104,2.05,3.93,34.3
105,0.3,0.79,27.3
106,1.58,3.68,30
107,0.91,2.27,28.6
108,0.87,2.17,28.6
109,1.11,0.44,71.4
110,0,1.11,0
111,1.82,1.82,50
112,0.92,0.77,54.5
113,0.36,1.27,22.2
114,2.11,1.26,62.5
115,0,0,0
116,0,2.5,0
117,0,0,0
118,2.21,2.95,42.9
119,0.26,1.23,17.6
120,0.59,0.59,50
121,0.53,0.76,41.2
122,0.99,1.04,48.7
123,0.37,0.07,83.3
124,0,0,0
125,0.55,0.22,71.4
126,2.97,3.24,47.8
127,1.52,1.82,45.5
128,1.13,2.25,33.3
129,1.23,2.47,33.3
130,0,0,0
131,0.36,0,100
132,2.58,2.27,53.1
133,0,0,0
134,0,0.61,0
135,0.97,1.41,40.9
136,0.91,1.82,33.3
137,0.85,0.99,46.2
138,0.21,1.88,10
139,0,0,0
140,0.19,0,100
141,0.94,0.83,53.1
142,4.44,1.11,80
143,2.5,0,100
144,2.5,1.33,65.2
145,0.38,0.98,27.8
146,2.02,2.71,42.6
147,1.48,0.9,62.1
148,0.86,3.7,18.9
149,2.12,2.12,50
150,3.33,6.67,33.3
151,1.69,3.55,32.2
152,0.33,1.15,22.2
153,3.08,2.95,51.1
154,0,0,0
155,3.43,3.43,50
156,1.93,1.32,59.5
157,0,0,0
158,1.44,0.81,64
159,1.71,1.14,60
160,1.6,2,44.4
161,2,2,50
162,0.15,0,100
163,4,1,80
164,2.26,0.75,75
165,0,0.87,0
166,0.91,0,100
167,1.1,2.47,30.8
168,2.56,2.31,52.6
169,2.14,0.71,75
170,0,1.67,0
171,1.82,1.36,57.1
172,0.19,0.67,22.2
173,0,0,0
174,5.71,4.29,57.1
175,0.83,0.74,52.9
176,0.68,1.15,37.1
177,0.24,0.35,40
178,0.37,0.75,33.3
179,0.14,0.48,22.2
180,0.33,1.67,16.7
181,0,0,0
182,1.79,1.73,50.7
183,0.9,0.8,52.9
184,1.36,0.45,75
185,0.51,2.03,20
186,0.97,0.81,54.5
187,0.8,1.23,39.4
188,1.36,2.73,33.3
189,0.43,1.37,23.8
190,0.36,0.84,30
191,1.33,2.29,36.8
192,0.63,1.25,33.3
193,0,0,0
194,0.81,1.62,33.3
195,0.57,0.29,66.7
196,1.35,3.24,29.4
197,1.14,0.84,57.6
198,1.08,2.16,33.3
199,0.78,0.39,66.7
200,0.7,0,100
201,0.29,1.47,16.7
202,3.24,2.06,61.1
203,1.01,1.91,34.5
204,1.67,1.58,51.3
205,1.9,4.29,30.8
206,0.53,1.05,33.3
207,0.67,0.67,50
208,0.24,1.53,13.3
209,2.36,2.05,53.6
210,1.95,1.46,57.1
211,0,0.77,0
212,1.99,0.78,71.8
213,1.05,0.76,57.9
214,1.37,1.1,55.6
215,3.71,2.33,61.4
216,0.45,0,100
217,3.43,0.86,80
218,1.61,2.26,41.7
219,1.85,2.3,44.6
220,1.99,2.41,45.2
221,0,1.67,0
222,0,10,0
223,0.45,0,100
224,0,1.43,0
225,2.06,3.24,38.9
226,2.18,1.16,65.3
227,5,0,100
228,0,10,0
229,0.8,1.85,30.2
230,2.89,1.58,64.7
231,0,0,0
232,1.58,1.58,50
233,1,0,100
234,0,0,0
235,10.7,9.4,53.3
236,0.32,0.97,25
237,0.28,0,100
238,0.57,0.8,41.7
239,0.5,0.25,66.7
240,0.78,0.96,44.8
241,3.86,2.76,58.3
242,2.11,1.23,63.2
243,1.11,0,100
244,0,0,0
245,0.79,1.24,38.9
246,1.88,0,100
247,1.38,1.06,56.5
248,0,0,0
249,1.56,4.67,25
250,0.61,1.45,29.7
251,0.58,0.96,37.5
252,0,0,0
253,0.63,1.19,34.8
254,3,2,60
255,0.48,0.48,50
256,1.08,1.02,51.5
257,0.23,0.45,33.3
258,2.51,1.34,65.2
259,1.12,0.65,63.3
260,0.9,0.96,48.4
261,0.43,0.43,50
262,0.49,1.08,31.3
263,1.71,0.95,64.3
264,1.51,1.51,50
265,1.35,0.83,62.1
266,0,0,0
267,0.29,0.86,25
