Player_ID,CrdY,CrdR,2CrdY,Fls,FlsDrawn
1,0.11,0,0,0.62,2.26
2,0.09,0,0,1.32,0.5
3,0.12,0,0,1.74,1.28
4,0.15,0,0,2.45,1.35
5,0.16,0,0,0.93,1.01
6,0,0,0,0,0
7,0,0,0,0.95,1.43
8,0,0,0,2.5,4.17
9,0,0,0,0.67,0.67
10,0.18,0,0,1.56,1.8
11,0.06,0,0,1.31,2.05
12,0.24,0,0,0.73,0.73
13,0,0,0,5,0
14,0.46,0.09,0,1.65,1.65
15,0,0,0,1.77,1.03
16,0.26,0.05,0.05,1.74,1.05
17,0.38,0,0,2.31,0.77
18,0.16,0,0,0.66,0.25
19,1.67,0,0,4.17,0
20,0.59,0,0,1.29,2
21,0.14,0,0,3.33,2.78
22,0.77,0,0,2.31,0.77
23,0.35,0,0,1.16,1.63
24,0.25,0,0,2,1
25,0.11,0.11,0,1.01,0.28
26,0.63,0,0,2.19,1.56
27,0,0,0,6,6
28,0.16,0,0,0.48,1.27
29,0.13,0,0,1.63,1.75
30,0.53,0,0,0.7,0.7
31,0.29,0,0,1.47,1.03
32,0,0,0,0,0
33,0.26,0.06,0.06,1.03,1.1
34,0,0,0,5,5
35,0.32,0.11,0,2.58,1.72
36,0.15,0,0,0.6,0.35
37,0.53,0,0,1.6,1.6
38,0.3,0,0,1.09,0.69
39,0.18,0,0,1.14,0.7
40,0,0,0,0.59,0.94
41,0.12,0,0,1.63,0.93
42,0.38,0,0,2.31,0.38
43,0.07,0,0,0.91,0.49
44,0,0,0,0.7,0.7
45,0.19,0,0,0.81,0.67
46,1.07,0,0,1.79,1.07
47,0.77,0,0,1.54,1.15
48,0.9,0.3,0.15,2.24,1.19
49,0.53,0,0,1.49,0.7
50,0.2,0,0,0.46,0.13
51,0.8,0.4,0.4,1.6,1.2
52,0,0,0,2.14,0.71
53,0.39,0.1,0.1,0.68,0.19
54,0.09,0,0,0.6,0.34
55,0.3,0,0,0.83,0.65
56,0,0,0,0.77,0.77
57,0.16,0,0,1.41,1.95
58,0,0,0,1.33,0.67
59,0.54,0.09,0.09,1.96,1.79
60,0.43,0,0,1.14,0.86
61,1.11,0.12,0.12,3.33,2.72
62,0,0,0,0,0
63,0.49,0,0,2.41,2.28
64,0.19,0,0,0.5,0.19
65,0,0,0,10,0
66,0.24,0,0,2.29,0.84
67,0.29,0,0,1.43,2
68,0,0,0,5,0.71
69,0,0,0,0.05,0.05
70,0.15,0,0,1.03,2.21
71,0,0,0,0,2.5
72,0.14,0,0,1.15,1.51
73,0.05,0,0,0.69,1.29
74,0.14,0,0,0.87,0.58
75,0.11,0,0,1.05,0.95
76,1.67,0,0,1.67,0
77,10,0,0,10,0
78,0.32,0.16,0,1.43,1.11
79,0,0,0,1.56,0.78
80,0.3,0,0,2.12,0.91
81,0.17,0.06,0,0.75,0.98
82,0.44,0,0,0.89,0.44
83,0.07,0,0,0.46,0.2
84,0.36,0,0,2.73,1.09
85,0.95,0.48,0.48,0.95,0.95
86,0.26,0,0,1.71,0.17
87,1.67,0,0,5,0
88,0.57,0,0,1.14,0.68
89,0.42,0,0,1.27,2.25
90,0.33,0,0,1.59,0.79
91,0.62,0,0,2.17,1.55
92,0.18,0,0,0.98,0.67
93,0,0,0,1.54,5.38
94,0.05,0,0,1.18,1.07
95,0.26,0,0,1.74,1.38
96,0.22,0,0,1.01,2.59
97,0.32,0,0,1.78,0.57
98,0.11,0,0,0.51,1.02
99,0.35,0.18,0,1.05,0.18
100,0.11,0,0,0.69,0.69
101,0,0,0,6.67,0
102,0.15,0,0,0.95,1.01
103,0.29,0,0,1.71,3.14
104,0.09,0,0,1.45,1.97
105,0.3,0,0,0.4,1.29
106,0,0,0,0.53,0.53
107,0,0,0,0.57,1.7
108,0.43,0,0,1.3,2.61
109,0.44,0,0,0.89,0.89
110,0,0,0,2.22,2.22
111,0.11,0,0,1.82,0.11
112,0.31,0.15,0.15,1.69,1.54
113,0.18,0,0,1.27,1.82
