Player_ID,TakeOns_Att,TakeOns_Suc,TakeOns_Suc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,Miscontrol,Miscontrol_after_tackle
1,3.73,1.19,31.8,1.75,47,26.7,136.1,56.6,1.53,1.07,2.6,3.11
2,0.68,0.32,46.7,0.36,53.3,40,234.2,125,0.55,0.23,0.73,0.68
3,3.84,2.09,54.5,1.51,39.4,48.5,298.5,151,2.56,2.56,2.09,1.05
4,1.25,0.7,56,0.4,32,61,316.9,117.5,1.25,1.95,1.35,1.3
5,0.93,0.54,58.3,0.31,33.3,41,174.3,72.7,0.47,0.93,1.32,0.78
6,0,0,0,0,0,10,0,0,0,0,0,0
7,1.43,0.48,33.3,0.95,66.7,17.1,97.1,10.5,1.43,0,7.62,3.33
8,0,0,0,0,0,22.5,145,87.5,3.33,0.83,8.33,0.83
9,1.33,0.33,25,1,75,30.3,112.7,67.3,0.67,0.67,1,0.67
10,3.17,1.02,32.1,1.86,58.5,28.6,177.7,74.7,3.05,1.08,2.57,0.96
11,3.01,0.8,26.4,1.7,56.6,16.8,89.8,35.9,1.42,0.97,2.33,1.31
12,0.16,0,0,0.08,50,36.7,184.3,96.6,1.06,0.89,0.57,0.24
13,2.5,0,0,2.5,1.00E+02,52.5,335,187.5,5,5,0,2.5
14,2.11,0.64,30.4,1.1,52.2,40.4,189.2,98.4,2.02,1.56,1.56,1.38
15,1.43,0.63,44,0.63,44,18,73.8,21.9,0.69,0.51,3.43,0.91
16,0.89,0.16,17.6,0.58,64.7,35.2,137.1,62.5,0.68,1,1.16,0.68
17,4.04,0.77,19,2.69,66.7,24,135.2,52.3,1.54,0.96,3.65,2.69
18,0.25,0.16,66.7,0.08,33.3,28.9,156.6,95.9,0.49,0.66,0.16,0.25
19,2.5,0.83,33.3,1.67,66.7,25.8,144.2,69.2,0.83,0,3.33,1.67
20,5.41,1.53,28.3,2.71,50,31.3,206.2,80.1,2.35,2.12,3.88,1.76
21,2.64,1.11,42.1,1.25,47.4,27.8,151.8,74.4,2.5,1.39,4.72,1.67
22,0.77,0.77,100,0,0,33.8,217.7,108.5,3.85,3.08,1.54,1.54
23,0.47,0.12,25,0.35,75,27.7,109.5,49.9,0.81,0.7,1.74,1.16
24,2,0.5,25,1,50,22.3,146,62.8,3.5,1.25,4,2
25,0.39,0.22,57.1,0.17,42.9,43.5,264.2,134.4,0.62,0.67,0.84,0.51
26,1.56,0.63,40,0.31,20,52.5,275.6,113.1,1.25,1.88,0.63,0.94
27,6,0,0,4,66.7,38,330,48,0,4,2,4
28,1.03,0.48,46.2,0.24,23.1,38.8,249.7,102.4,1.35,1.9,1.03,0.24
29,3.38,1.38,40.7,1.63,48.1,23.9,173.9,94.6,2.88,2.38,2.63,2.44
30,0.18,0.18,100,0,0,27.7,105.1,51.2,0.18,0,0.53,0
31,0.74,0.44,60,0.15,20,42.9,223.7,96.9,1.47,0.88,1.03,0.44
32,5,5,100,0,0,40,165,60,5,0,5,0
33,2.71,1.16,42.9,1.29,47.6,26.3,192.4,97.5,2.77,1.74,2.19,0.71
34,5,5,100,0,0,60,370,105,0,5,20,10
