Player_ID,PassesLeadingtoShot,Passesintofinal3rd,Crossesintothebox,SwitchofPlay,Crosses,Throwins,Corners,InswingCorners,OutswingCorners,Offsides,Shot_Creating_Actions,OpenPlayShotCreatingPasses,DeadBallShotCreatingPasses,DribblesLeadingtoShot,Fouls _drawn_forShot ,GoalCreatingActions,OpenPlayGCA,DeadBallGCA,DribblesGCA,FoulsDrawnGCA
1,1.75,1.75,0.11,0,2.54,0.23,1.47,0.68,0.62,0,3.62,2.37,0.56,0.23,0.28,0.28,0.17,0,0,0
2,0.27,2.91,0,0.55,0.18,0.09,0,0,0,0.23,1.14,0.86,0,0,0,0.18,0.14,0,0,0
3,1.51,3.95,0.35,0.23,1.05,0.81,0,0,0,0.23,2.67,2.44,0,0,0,0,0,0,0,0
4,0.5,6,0.1,0.2,0.35,0.1,0,0,0,0.35,1.6,1.35,0,0.1,0,0,0,0,0,0
5,0.62,3.88,0,0.16,0.23,0,0,0,0,0.08,1.24,1.01,0.08,0,0,0.08,0.08,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.48,0.48,0,0.95,0,0,0,0,0,0.48,0.48,0,0,0,0,0,0,0,0
8,1.67,0.83,0,0,1.67,0,0,0,0,0,5.83,1.67,0,0,0.83,1.67,0,0,0,0.83
9,0,3,0,0.67,1.33,11.3,0,0,0,0.33,1,0.67,0,0.33,0,0.33,0.33,0,0,0
10,0.54,0.78,0.06,0,0.96,0.78,0,0,0,0.18,2.34,1.32,0,0.18,0.42,0.24,0.12,0,0.06,0.06
11,1.42,0.63,0.06,0.06,0.28,0.06,0,0,0,0.17,3.07,1.99,0,0.23,0.28,0.51,0.23,0,0.06,0.06
12,0.49,3.09,0,0.73,0.24,0.57,0,0,0,0.08,0.98,0.81,0.08,0,0,0,0,0,0,0
13,2.5,2.5,0,0,2.5,0,2.5,0,2.5,0,2.5,2.5,0,0,0,0,0,0,0,0
14,1.93,2.39,1.1,0.92,7.61,8.07,1.93,0.46,1.1,0.09,3.03,2.11,0.64,0,0,0.18,0.18,0,0,0
15,1.2,0.97,0.11,0.4,0.51,0.23,0,0,0,0.06,2.63,2.06,0.06,0.06,0.23,0.29,0.17,0,0,0.11
16,1.21,4.37,0,0.05,0.11,0.68,0,0,0,0,1.84,1.79,0,0,0.05,0.05,0.05,0,0,0
17,1.35,0.96,0.38,0.19,1.92,1.15,0,0,0,0.19,3.27,2.5,0,0,0,0.38,0.19,0,0,0
18,0.08,2.38,0,0.49,0.08,0.33,0,0,0,0.33,0.41,0.41,0,0,0,0,0,0,0,0
19,0,1.67,0,0,0,0.83,0.83,0,0,0,1.67,1.67,0,0,0,0,0,0,0,0
20,1.41,1.41,0,0.12,1.76,0.47,0.59,0.59,0,0.12,3.65,2.71,0,0.12,0.35,0.59,0.47,0,0,0
21,1.39,2.22,0,0.28,0.83,0.42,0.56,0,0.28,0.42,2.64,1.81,0.28,0.14,0.14,0.42,0.28,0,0.14,0
22,0.77,3.08,0,0.77,3.08,0.77,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0
23,0.93,2.21,0,0.23,1.05,0.58,0.23,0,0.23,0.35,2.21,1.51,0.23,0.12,0.12,0.23,0,0,0,0.12
24,0.25,0.75,0,0.25,0.75,0.5,0,0,0,0,1.75,1.5,0,0,0,0,0,0,0,0
25,0.34,3.2,0,0.67,0,0.11,0,0,0,0.11,1.18,0.96,0.06,0,0,0.17,0.11,0,0,0
26,0.63,3.13,0.31,0.94,0.94,0.31,0.31,0.31,0,0.31,1.56,1.56,0,0,0,0,0,0,0,0
27,2,2,0,0,2,12,0,0,0,0,8,6,2,0,0,0,0,0,0,0
28,1.43,5.32,0.08,1.98,2.22,0.24,1.27,0.08,0.87,0,3.17,2.54,0.48,0,0.16,0.32,0.16,0.16,0,0
29,0.88,2.44,0.06,0.06,1.31,0.25,0.31,0.19,0.13,0.31,1.88,1.31,0.06,0.19,0.13,0.13,0.06,0,0,0.06
30,0.18,1.93,0,0.88,0,0,0,0,0,0.35,0.18,0.18,0,0,0,0,0,0,0,0
31,0.15,4.26,0.29,0.15,1.76,9.56,0,0,0,0,1.18,0.88,0.15,0,0,0.29,0.29,0,0,0
32,0,10,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
33,0.97,2.45,0.13,0.06,0.39,0.32,0,0,0,0.13,2.45,2,0,0.19,0.06,0.45,0.45,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.65,2.15,0,0.43,0.43,0.11,0,0,0,0,1.4,0.97,0,0,0.11,0.11,0.11,0,0,0
36,0.05,2.3,0,0.15,0,0.1,0,0,0,0.15,0.3,0.25,0,0,0,0,0,0,0,0
37,1.2,3.07,1.07,0.13,3.47,9.73,0.13,0,0,0.53,2.93,2.27,0.13,0.4,0.13,0.4,0.27,0,0.13,0
38,0.69,2.38,0.5,0.1,2.08,6.63,0.3,0.1,0.2,0.2,2.18,1.39,0.2,0.4,0.1,0,0,0,0,0
39,0.35,3.16,0.09,0.35,0.35,4.82,0,0,0,0.18,0.88,0.88,0,0,0,0,0,0,0,0
40,0.12,2.35,0.12,0.47,0.71,5.18,0,0,0,0.12,0.47,0.47,0,0,0,0,0,0,0,0
41,1.16,1.16,0,0.35,0,0,0,0,0,0.35,2.56,2.33,0,0,0,0.23,0.12,0,0,0
42,1.54,2.31,0,0.38,0.38,0,0,0,0,0.77,3.08,2.69,0,0,0,0,0,0,0,0
43,0.28,5.17,0.07,0.49,0.21,0.63,0,0,0,0,1.26,1.19,0,0,0,0,0,0,0,0
44,0.39,7.58,0,0.47,0.39,4.14,0,0,0,0.16,1.17,0.94,0.08,0,0,0.16,0.16,0,0,0
45,0.86,2,0.67,0.62,3,8.48,0,0,0,0.33,1.57,1.24,0.05,0.05,0,0.1,0.05,0,0.05,0
46,1.79,2.5,0,0,3.21,1.07,0.36,0.36,0,0.36,1.79,1.79,0,0,0,0,0,0,0,0
47,0,3.08,0,0.77,0,0,0,0,0,0.38,0.38,0,0,0,0,0,0,0,0,0
48,0.15,1.94,0.15,0.15,0.6,0,0,0,0,0,1.64,0.75,0,0.3,0.15,0,0,0,0,0
49,0.26,3.77,0.18,0.61,0.53,2.02,0,0,0,0,0.7,0.61,0,0.09,0,0,0,0,0,0
50,0.99,3.55,0.2,0.13,1.25,1.97,0.13,0.13,0,0.33,1.58,1.32,0.2,0,0,0.26,0.2,0,0,0
51,0.8,4.4,0,1.2,2.4,0,0.8,0.4,0.4,0,1.6,0.8,0.4,0,0.4,0,0,0,0,0
52,0.36,1.07,0,0,0,0,0,0,0,0,2.5,1.79,0,0.36,0,0.71,0.36,0,0,0
53,2.52,9.51,1.07,0.49,5.05,9.42,0,0,0,0.29,3.98,3.59,0.19,0.1,0,0.39,0.39,0,0,0
54,2.14,6.07,0,0.26,5.47,0.17,4.1,1.97,1.79,0.26,3.25,2.22,1.03,0,0,0.51,0.43,0.09,0,0
55,0.12,4.02,0,0.65,0.06,0,0,0,0,0.12,0.59,0.59,0,0,0,0,0,0,0,0
56,2.31,2.31,0.77,0,10.8,2.69,2.69,0.38,1.15,0.38,3.08,2.31,0.77,0,0,0,0,0,0,0
