Player_ID,MP,Starts,Min,Min/90,Goals,Shots,SoT,SoT%
1,20,19,1596,17.7,1,1.53,0.28,18.5
2,22,22,1980,22,0,0.86,0.05,5.3
3,14,8,770,8.6,0,1.05,0.35,33.3
4,20,20,1799,20,1,0.6,0.15,25
5,15,15,1165,12.9,0,0.31,0,0
6,1,0,11,0.1,0,0,0,0
7,5,2,185,2.1,1,4.29,1.43,33.3
8,11,0,107,1.2,1,5,1.67,33.3
9,4,3,272,3,0,0.67,0.33,50
10,22,17,1507,16.7,5,2.75,1.02,37
11,22,18,1582,17.6,6,2.67,1.25,46.8
12,14,12,1110,12.3,0,0.49,0,0
13,2,0,36,0.4,0,2.5,0,0
14,16,12,985,10.9,2,1.47,0.37,25
15,21,18,1577,17.5,4,2.06,0.74,36.1
16,19,19,1706,19,0,0.11,0,0
17,16,3,471,5.2,1,3.46,1.73,50
18,14,12,1095,12.2,1,0.33,0.16,50
19,5,0,107,1.2,0,0.83,0,0
20,15,11,765,8.5,2,2.24,0.94,42.1
21,13,6,652,7.2,1,1.94,0.69,35.7
22,4,1,116,1.3,0,1.54,1.54,100
23,18,8,775,8.6,1,1.16,0.23,20
24,12,2,359,4,0,2.5,0.25,10
25,19,18,1599,17.8,0,0.79,0.11,14.3
26,5,4,286,3.2,0,0.31,0,0
27,3,0,49,0.5,0,2,0,0
28,19,12,1130,12.6,0,0.71,0.16,22.2
29,21,16,1443,16,0,1.13,0.31,27.8
30,6,5,515,5.7,0,0.88,0,0
31,13,7,615,6.8,0,0.29,0.29,100
32,2,0,16,0.2,0,5,0,0
33,17,17,1398,15.5,2,1.03,0.32,31.3
34,1,0,20,0.2,0,0,0,0
35,19,10,834,9.3,1,0.97,0.32,33.3
36,20,20,1800,20,2,0.45,0.1,22.2
37,12,8,676,7.5,1,0.93,0.4,42.9
38,17,9,913,10.1,1,0.99,0.5,50
39,15,11,1029,11.4,0,0.26,0.09,33.3
40,9,9,763,8.5,0,0.12,0,0
41,13,9,771,8.6,1,2.56,0.81,31.8
42,4,3,231,2.6,0,2.69,0.77,28.6
43,15,14,1286,14.3,0,0.77,0.14,18.2
44,15,13,1156,12.8,0,0.31,0,0
45,21,21,1890,21,0,1.05,0.29,27.3
46,6,3,248,2.8,0,0.36,0.36,100
47,6,2,238,2.6,0,0.77,0.38,50
48,12,7,606,6.7,0,1.04,0.3,28.6
49,16,10,1030,11.4,0,0.53,0.09,16.7
50,17,15,1365,15.2,1,0.59,0.07,11.1
51,4,2,223,2.5,0,0.8,0.4,50
52,12,2,248,2.8,1,3.21,0.71,22.2
53,14,9,931,10.3,1,0.87,0.19,22.2
54,19,11,1053,11.7,4,1.45,0.6,41.2
55,17,17,1519,16.9,0,0.06,0,0
56,6,1,237,2.6,1,0.77,0.38,50
57,14,14,1154,12.8,0,0.7,0.08,11.1
58,3,1,134,1.5,1,2.67,0.67,25
59,16,11,1008,11.2,1,1.52,0.18,11.8
60,8,7,630,7,0,0.71,0.14,20
61,16,8,729,8.1,0,1.48,0.25,16.7
62,3,2,225,2.5,0,0,0,0
63,19,19,1455,16.2,2,1.3,0.49,38.1
64,20,17,1441,16,1,1.31,0.19,14.3
65,1,0,15,0.2,0,0,0,0
66,14,9,747,8.3,0,0.36,0,0
67,8,3,317,3.5,0,3.14,1.43,45.5
68,9,0,123,1.4,0,1.43,0,0
69,20,20,1800,20,0,0,0,0
70,21,13,1220,13.6,1,1.4,0.29,21.1
71,2,0,40,0.4,0,0,0,0
72,18,14,1255,13.9,2,0.79,0.36,45.5
73,22,22,1816,20.2,10,2.33,0.74,31.9
74,12,6,620,6.9,1,0.43,0.14,33.3
75,17,9,854,9.5,0,0.74,0.11,14.3
76,1,1,58,0.6,0,0,0,0
77,1,0,10,0.1,0,0,0,0
78,10,5,571,6.3,2,0.32,0.32,100
79,16,5,578,6.4,4,2.97,1.25,42.1
80,16,1,296,3.3,1,3.33,0.91,27.3
81,18,18,1565,17.4,1,0.34,0.06,16.7
82,6,4,401,4.5,0,0.44,0,0
83,17,15,1365,15.2,0,0.2,0.13,66.7
84,14,3,494,5.5,1,1.82,0.73,40
85,4,1,193,2.1,0,0,0,0
86,15,11,1049,11.7,0,0.77,0.09,11.1
87,1,1,58,0.6,0,0,0,0
88,10,10,790,8.8,0,0.57,0.11,20
89,15,5,636,7.1,2,1.69,0.7,41.7
90,16,16,1360,15.1,0,0.79,0.26,33.3
91,18,14,1165,12.9,0,0.54,0.16,28.6
92,17,17,1477,16.4,1,0.67,0.3,45.5
93,10,0,121,1.3,0,3.08,0.77,25
94,22,20,1687,18.7,6,1.18,0.64,54.5
95,20,20,1756,19.5,1,0.77,0.1,13.3
96,23,15,1250,13.9,4,1.94,0.79,40.7
97,18,17,1416,15.7,2,1.02,0.25,25
98,19,18,1597,17.7,0,0.62,0.17,27.3
99,8,7,510,5.7,0,0.53,0,0
100,17,7,783,8.7,3,1.95,1.15,58.8
101,2,0,52,0.6,1,1.67,1.67,100
102,20,20,1794,19.9,1,0.75,0.2,26.7
103,11,3,311,3.5,0,0,0,0
104,21,11,1051,11.7,2,2.05,0.68,33.3
105,12,11,908,10.1,3,3.27,1.39,42.4
106,4,1,172,1.9,0,0,0,0
107,15,8,788,8.8,2,1.48,0.45,30.8
108,3,3,210,2.3,1,1.3,0.43,33.3
109,9,6,402,4.5,1,1.33,0.67,50
110,6,0,85,0.9,0,3.33,1.11,33.3
111,15,9,795,8.8,0,0.57,0.11,20
112,7,7,587,6.5,0,0.92,0,0
113,10,4,493,5.5,1,0.91,0.36,40
114,10,10,859,9.5,0,0.63,0,0
115,6,0,49,0.5,0,0,0,0
116,2,0,32,0.4,0,2.5,2.5,100
117,2,0,107,1.2,0,0,0,0
118,19,11,1094,12.2,2,1.07,0.66,61.5
119,20,12,1027,11.4,1,1.67,0.79,47.4
120,18,7,767,8.5,1,1.53,0.35,23.1
121,14,14,1189,13.2,8,1.59,0.76,47.6
122,20,20,1728,19.2,4,1.04,0.36,35
123,14,14,1215,13.5,0,0,0,0
124,1,0,15,0.2,0,0,0,0
125,20,10,815,9.1,1,2.09,0.55,26.3
126,16,6,663,7.4,3,3.24,1.22,37.5
127,8,3,299,3.3,0,0.91,0.3,33.3
128,11,8,637,7.1,1,2.68,0.85,31.6
129,13,7,727,8.1,0,1.73,0.37,21.4
130,5,5,450,5,0,0,0,0
131,15,5,500,5.6,2,3.75,1.07,28.6
132,16,6,592,6.6,0,1.36,0.45,33.3
133,4,0,60,0.7,0,2.86,0,0
134,12,2,295,3.3,0,1.82,0,0
135,20,18,1662,18.5,9,2.27,1.03,45.2
136,6,2,194,2.2,0,1.36,0.45,33.3
137,13,7,637,7.1,1,1.27,0.7,55.6
138,11,4,433,4.8,1,2.08,1.04,50
139,1,0,9,0.1,0,10,0,0
140,21,21,1890,21,0,0,0,0
141,20,18,1626,18.1,1,0.33,0.11,33.3
142,3,1,77,0.9,0,2.22,1.11,50
143,1,1,71,0.8,0,0,0,0
144,14,12,1082,12,1,0.5,0.17,33.3
145,19,15,1191,13.2,2,1.52,0.83,55
146,18,16,1161,12.9,7,3.1,1.4,45
147,14,12,1102,12.2,1,0.16,0.08,50
148,16,9,730,8.1,4,2.35,0.99,42.1
149,10,1,295,3.3,0,1.52,0,0
150,2,0,29,0.3,0,0,0,0
151,22,18,1497,16.6,1,0.78,0.36,46.2
152,10,5,545,6.1,0,0.16,0.16,100
153,14,7,704,7.8,0,0.9,0.13,14.3
154,1,0,1,0,0,0,0,0
155,10,2,311,3.5,0,3.43,1.14,33.3
156,18,10,1023,11.4,0,0.44,0.09,20
157,1,0,1,0,0,0,0,0
158,17,12,995,11.1,0,0.63,0,0
159,18,17,1575,17.5,1,0.29,0.17,60
160,6,5,448,5,0,0.2,0,0
161,1,1,90,1,0,2,0,0
