Player_ID,PassesCompleted,PassesAttempted,PasCompleted%,PassingDist,Progressive_PassesDist,ShortPasses,ShortPassesAtt,ShortPasses%,MediumPasses,MediumPassesAtt,MediumPasses%,LongPasses,LongPassesAtt,LongPasses%,Assists,PassesLeadingtoShot,Passes_into_final3rd
1,23.2,31,74.9,293,85.7,13.3,16.2,81.9,5.93,7.74,76.6,0.9,2.37,38.1,0.11,1.75,1.75
2,38.5,47.2,81.5,751.5,318.5,10.9,12.9,84.5,23.2,25.7,90.1,3.77,7,53.9,0.05,0.27,2.91
3,40,49.5,80.8,676,188.1,18.5,22,84.1,15.5,18.7,82.6,4.42,5.93,74.5,0,1.51,3.95
4,59.5,64.9,91.6,946.3,226.9,29.6,31.8,93.2,24.7,26.2,94.3,3.35,4.3,77.9,0,0.5,6
5,37.9,43.4,87.3,613.6,224.7,17.9,19.4,92.4,15.7,17.8,88.6,2.64,3.95,66.7,0.08,0.62,3.88
6,20,30,66.7,310,90,10,10,100,10,10,100,0,10,0,0,0,0
7,7.14,10,71.4,139.5,40,1.43,2.38,60,4.76,5.24,90.9,0.48,0.95,50,0,0,0.48
8,5.83,12.5,46.7,107.5,25,2.5,5,50,2.5,3.33,75,0.83,0.83,100,0,1.67,0.83
9,39,54.3,71.8,590,265.3,20.7,23.3,88.6,13.3,20,66.7,2.33,5.67,41.2,0,0,3
10,17.6,25.3,69.7,219.5,49.6,11.7,14.9,79,4.43,6.17,71.8,0.24,0.84,28.6,0.24,0.54,0.78
11,13.7,20.1,68.6,194.8,49.3,8.13,10.4,78.1,4.03,6.42,62.8,0.91,1.31,69.6,0.17,1.42,0.63
12,51.7,58.9,87.7,975.9,312,18.9,20.5,92.1,25.8,28.6,90.1,6.02,8.13,74,0.08,0.49,3.09
13,45,52.5,8.57E+01,685,190,17.5,17.5,100,25,30,83.3,0,2.5,0,0,2.5,2.5
14,46.5,62.9,73.9,874.2,327.3,22.1,24.8,89.3,17.2,22.4,77,6.42,13.3,48.3,0.09,1.93,2.39
15,14.6,22.2,65.8,206.9,48.1,9.26,12.5,74.3,3.14,4.97,63.2,1.26,1.77,71,0.11,1.2,0.97
16,47.1,57.4,82,715.1,220.9,25.7,29.2,87.9,16.8,19.9,84.7,2.84,4.74,60,0,1.21,4.37
17,18.1,25,72.3,301.2,73.5,9.04,10.6,85.5,7.31,10,73.1,1.54,2.31,66.7,0.19,1.35,0.96
18,38.9,48.5,80.1,808.6,296.6,9.59,11,87.3,25.2,28.4,88.5,3.77,7.79,48.4,0,0.08,2.38
19,24.2,34.2,70.7,325,77.5,10,15,66.7,9.17,11.7,78.6,0.83,2.5,33.3,0,0,1.67
20,24.2,32.9,73.6,303.1,86.6,14.9,18,83,6.35,8.12,78.3,0.71,1.76,40,0.12,1.41,1.41
21,26.3,33.1,79.4,358.1,81.1,16.1,19.4,82.9,7.36,8.06,91.4,1.25,2.08,60,0.28,1.39,2.22
22,29.2,46.2,63.3,512.3,166.2,14.6,18.5,79.2,9.23,13.8,66.7,3.85,8.46,45.5,0,0.77,3.08
