Player_ID,Player,Nation,Pos,Team_ID,Age,Born
1,Brenden Aaronson,USA,MFFW,10045,22,2000
2,Yunis Abdelhamid,MAR,DF,10074,35,1987
3,Himad Abdelli,FRA,MFFW,10003,23,1999
4,Salis Abdul Samed,GHA,MF,10047,22,2000
5,Laurent Abergel,FRA,MF,10051,30,1993
6,Oliver Abildgaard,DEN,MF,10037,26,1996
7,Matthis Abline,FRA,FWMF,10010,19,2003
8,Matthis Abline,FRA,FWMF,10075,19,2003
9,Abner,BRA,DF,10013,22,2000
10,Zakaria Aboukhlal,MAR,FWMF,10088,22,2000
11,Tammy Abraham,ENG,FW,10076,25,1997
12,Francesco Acerbi,ITA,DF,10040,35,1988
13,Mohamed Achi,FRA,FW,10063,21,2002
14,Marcos Acuña,ARG,DF,10081,31,1991
15,Che Adams,SCO,FW,10082,26,1996
16,Tyler Adams,USA,MF,10045,23,1999
17,Sargis Adamyan,ARM,FWMF,10042,29,1993
18,Tosin Adarabioyo,ENG,DF,10034,25,1997
19,Martin Adeline,FRA,MFFW,10074,19,2003
20,Karim Adeyemi,GER,FWMF,10026,21,2002
21,Amine Adli,FRA,FW,10048,22,2000
22,Yacine Adli,FRA,MFFW,10059,22,2000
23,Michel Aebischer,SUI,FWMF,10015,26,1997
24,Felix Afena-Gyan,GHA,FWMF,10024,20,2003
25,Emmanuel Agbadou,CIV,DF,10074,25,1997
26,Lucien Agoume,FRA,MF,10089,21,2002
27,Felix Agu,GER,DFFW,10095,23,1999
28,Álvaro Aguado,ESP,MF,10093,26,1996
29,Kevin Agudelo,COL,MFFW,10083,24,1998
30,Nayef Aguerd,MAR,DF,10096,26,1996
31,Ruben Aguilar,FRA,DF,10060,29,1993
32,Naouirou Ahamada,FRA,MFFW,10025,20,2002
33,Naouirou Ahamada,FRA,MF,10085,20,2002
34,Amar Ahmed,SWE,FW,10089,18,2004
35,Jean-Eudes Aholou,CIV,MF,10084,28,1994
36,Joseph Aidoo,GHA,DF,10021,27,1995
37,Ola Aina,NGA,DF,10086,26,1996
38,Rayan Aït Nouri,FRA,DF,10098,21,2001
39,Emanuel Aiwum,AUT,DF,10024,22,2000
40,Kristoffer Ajer,NOR,DF,10017,24,1998
41,Ludovic Ajorque,FRA,FW,10084,28,1994
42,Ludovic Ajorque,FRA,FW,10053,28,1994
43,Manuel Akanji,SUI,DF,10055,27,1995
44,Nathan Aké,NED,DF,10055,27,1995
45,Sergio Akieme,ESP,DF,10002,25,1997
46,Maghnes Akliouche,FRA,MFDF,10060,20,2002
47,Paul Akouokou,CIV,MF,10013,25,1997
48,Jean-Daniel Akpa-Akpro,CIV,MF,10029,30,1992
49,Kevin Akpoguma,NGA,DF,10039,27,1995
50,David Alaba,AUT,DF,10072,30,1992
51,Tomás Alarcón,CHI,MF,10020,24,1999
52,Lucas Alario,ARG,FW,10027,30,1992
53,Jordi Alba,ESP,DF,10011,33,1989
54,Luis Alberto,ESP,MF,10043,30,1992
55,Raúl Albiol,ESP,DF,10094,37,1985
56,Marc Albrighton,ENG,FWMF,10046,33,1989
57,Thiago Alcántara,ESP,MF,10050,31,1991
58,Carlos Alcaraz,ARG,MF,10082,20,2002
59,Rubén Alcaraz,ESP,MF,10020,31,1991
60,Omar Alderete,PAR,DF,10035,26,1996
61,Iván Alejo,ESP,MFFW,10020,28,1995
62,Doðan Alemdar,TUR,GK,10075,20,2002
63,Carles Aleñá,ESP,MF,10035,25,1998
64,Trent Alexander-Arnold,ENG,DF,10050,24,1998
65,Alejandro Alfaro,ESP,MF,10028,20,2002
66,Ángel Algobia,ESP,MF,10035,23,1999
67,Mohamed Ali Cho,FRA,FW,10073,19,2004
68,Faride Alidou,GER,DFMF,10027,21,2001
69,Alisson,BRA,GK,10050,30,1992
70,Jim Allevinah,GAB,DFFW,10023,27,1995
71,Dele Alli,ENG,MF,10031,26,1996
72,Domingos André Ribeiro Almeida,POR,MF,10092,22,2000
73,Miguel Almirón,PAR,FW,10065,29,1994
74,Marcos Alonso,ESP,DF,10011,32,1990
75,Mickaël Alphonse,GLP,DF,10001,33,1989
76,Éder Álvarez Balanta,COL,MF,10080,29,1993
77,Carlos Álvarez,ESP,FW,10081,19,2003
78,Gastón Álvarez,URU,DF,10035,22,2000
79,Julián Álvarez,ARG,FWMF,10055,23,2000
80,Agustín Álvarez Martínez,URU,FWMF,10079,21,2001
81,Yeray Álvarez,ESP,DF,10007,28,1995
82,Ibrahim Amadou,FRA,DFMF,10003,29,1993
83,Daniel Amartey,GHA,DF,10046,28,1994
84,Amath,SEN,MFFW,10054,26,1996
85,Jordan Amavi,FRA,DF,10035,28,1994
86,Kelvin Amian,FRA,DF,10083,25,1998
87,Bruno Amione,ARG,DF,10037,21,2002
88,Bruno Amione,ARG,DF,10078,21,2002
89,Nadiem Amiri,GER,MFFW,10048,26,1996
90,Ethan Ampadu,WAL,DFMF,10083,22,2000
91,Sofyan Amrabat,MAR,MF,10032,26,1996
92,Joachim Andersen,DEN,DF,10025,26,1996
93,Elliot Anderson,SCO,FWMF,10065,20,2002
94,Felipe Anderson,BRA,FW,10043,29,1993
95,Benjamin André,FRA,MF,10049,32,1990
96,Komnen Andri?,SRB,FW,10023,27,1995
97,Robert Andrich,GER,MF,10048,28,1994
98,Angeliño,ESP,DF,10039,26,1997
99,Fabrizio Angileri,ARG,DF,10035,28,1994
100,Jaidon Anthony,ENG,MFFW,10016,23,1999
101,Janis Antiste,FRA,FW,10079,20,2002
102,Waldemar Anton,GER,DF,10085,26,1996
103,Marcos Antônio,BRA,MF,10043,22,2000
104,Michail Antonio,JAM,FW,10096,32,1990
105,Antony,BRA,FW,10056,22,2000
106,Valentin Antov,BUL,DF,10062,22,2000
107,Christopher Antwi-Adjei,GHA,FWMF,10014,29,1994
108,Anuar,MAR,MFFW,10093,28,1995
109,Houssem Aouar,FRA,MF,10052,24,1998
110,Adil Aouchiche,FRA,MFFW,10051,20,2002
111,Dennis Appiah,FRA,DFMF,10063,30,1992
112,Mauro Arambarri,URU,MF,10035,27,1995
113,Charles Aránguiz,CHI,MF,10048,33,1989
114,Ronald Araújo,URU,DF,10011,23,1999
115,Cameron Archer,ENG,FWMF,10005,21,2001
116,Taïryk Arconte,FRA,FWMF,10018,19,2003
117,Alphonse Areola,FRA,GK,10096,29,1993
118,Joe Aribo,NGA,MFFW,10082,26,1996
119,Adam Armstrong,ENG,FW,10082,26,1997
120,Stuart Armstrong,SCO,MFFW,10082,30,1992
121,Marko Arnautovi?,AUT,FW,10015,33,1989
122,Maximilian Arnold,GER,MF,10097,28,1994
123,Kepa Arrizabalaga,ESP,GK,10022,28,1994
124,Roberto Arroyo,ESP,MF,10093,19,2003
125,Tolgay Arslan,GER,MF,10090,32,1990
126,Arthur,BRA,FW,10032,24,1998
127,Santiago Arzamendia,PAR,MFDF,10020,24,1998
128,Takuma Asano,JPN,FWMF,10014,28,1994
129,Santiago Ascacíbar,ARG,MF,10024,25,1997
130,Sergio Asenjo,ESP,GK,10093,33,1989
131,Marco Asensio,ESP,FWMF,10072,27,1996
132,Kristoffer Askildsen,NOR,MF,10044,22,2001
133,Fisnik Asllani,KVX,FWMF,10039,20,2002
134,Kristjan Asllani,ALB,MF,10040,20,2002
135,Iago Aspas,ESP,FW,10021,35,1987
136,Lorenz Assignon,TOG,DF,10075,22,2000
137,Youcef Atal,ALG,DFMF,10066,26,1996
138,Pierre-Emerick Aubameyang,GAB,FW,10022,33,1989
139,Pierre-Emerick Aubameyang,GAB,FW,10011,33,1989
140,Emil Audero,ITA,GK,10078,26,1997
141,Tommaso Augello,ITA,DF,10078,28,1994
142,Ludwig Augustinsson,SWE,DF,10005,28,1994
143,Ludwig Augustinsson,SWE,DF,10054,28,1994
144,Serge Aurier,CIV,DF,10067,30,1992
145,Mathias Autret,FRA,MFFW,10010,31,1991
146,Ezequiel Ávila,ARG,FWMF,10068,29,1994
147,Cédric Avinel,GLP,DF,10001,36,1986
148,Taiwo Awoniyi,NGA,FW,10067,25,1997
149,Mehmet-Can Aydin,GER,DF,10080,21,2002
150,André Ayew,GHA,FW,10067,33,1989
151,Jordan Ayew,GHA,FWMF,10025,31,1991
152,Kaan Ayhan,TUR,DF,10079,28,1994
153,Luke Ayling,ENG,DF,10045,31,1991
154,Ayman Azhil,MAR,MF,10048,21,2001
155,Sardar Azmoun,IRN,MFFW,10048,28,1995
156,César Azpilicueta,ESP,DF,10022,33,1989
157,Sanoussy Ba,GER,DF,10071,19,2004
158,Iddrisu Baba,GHA,MF,10054,27,1996
159,Sr?an Babi?,SRB,DF,10002,26,1996
160,Loïc Bade,FRA,DF,10081,22,2000
161,Loïc Bade,FRA,DF,10075,22,2000
162,Édgar Badía,ESP,GK,10028,31,1992
163,Benoît Badiashile,FRA,DF,10022,21,2001
164,Benoît Badiashile,FRA,DF,10060,21,2001
165,Alex Baena,ESP,MFFW,10094,21,2001
166,Jaime Báez,URU,DF,10024,27,1995
167,Leon Bailey,JAM,FWMF,10005,25,1997
168,Eric Bailly,CIV,DF,10057,28,1994
169,Dénys Bain,FRA,DF,10010,29,1993
170,Brandon Baiye,BEL,MF,10023,22,2000
171,Stefan Bajcetic,ESP,MF,10050,18,2004
172,Nedim Bajrami,ALB,MFFW,10029,23,1999
173,Nedim Bajrami,ALB,MF,10079,23,1999
174,Cédric Bakambu,COD,MF,10057,31,1991
175,Mitchel Bakker,NED,MFDF,10048,22,2000
176,Ridle Baku,GER,DF,10097,24,1998
177,Tommaso Baldanzi,ITA,MF,10029,19,2003
178,Alejandro Balde,ESP,DF,10011,19,2003
179,Thierno Balde,FRA,DF,10089,20,2002
180,Carlos Baleba,CMR,MF,10049,19,2004
181,Mikel Balenziaga,ESP,DF,10007,34,1988
182,Leonardo Balerdi,ARG,DF,10057,24,1999
183,Iván Balliu,ALB,DF,10070,31,1992
184,Fodé Ballo-Touré,SEN,DF,10059,26,1997
185,Folarin Balogun,ENG,FW,10074,21,2001
186,Abdoulaye Bamba,CIV,DF,10003,32,1990
187,Jonathan Bamba,FRA,FW,10049,26,1996
188,Patrick Bamford,ENG,FW,10045,29,1993
189,Lameck Banda,ZAM,FWMF,10044,22,2001
190,Filippo Bandinelli,ITA,MF,10029,27,1995
191,Léo Baptistão,BRA,FWMF,10002,30,1992
192,Shandon Baptiste,GRN,MF,10017,24,1998
193,Antonín Barák,CZE,MF,10037,28,1994
194,Antonín Barák,CZE,MF,10032,28,1994
195,Andrea Barberis,ITA,MF,10062,29,1993
196,Bradley Barcola,FRA,FWMF,10052,20,2002
197,Melvin Bard,FRA,DF,10066,22,2000
198,Keidi Bare,ALB,MF,10030,25,1997
199,Nicolò Barella,ITA,MF,10040,26,1997
200,Kike Barja,ESP,FWMF,10068,25,1997
201,Ross Barkley,ENG,FWMF,10066,29,1993
202,Aymen Barkok,MAR,MF,10053,24,1998
203,Harvey Barnes,ENG,MFFW,10046,25,1997
