Player_ID,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen
1,44,0.4,4.35,19,21.5,2.49
2,59.2,6.23,27.5,29.5,2.73,1.09
3,62.6,0.93,11.4,36,17.4,1.16
4,73.3,2.1,12,49.6,12.2,0.7
5,54.7,3.26,19.2,31.4,4.88,0.23
6,50,0,20,20,10,0
7,25.7,0.48,1.43,11.4,12.9,6.67
8,30.8,0.83,0.83,12.5,18.3,12.5
9,65.7,4.67,20.7,30.7,15,1.67
10,38,0.96,5.45,14.6,18.7,4.97
11,31.6,0.74,2.1,16.5,13.5,4.83
12,67.2,8.21,30.4,34.4,2.85,0.49
13,62.5,0,10,27.5,25,0
14,74.4,3.49,20.1,32.1,22.9,1.65
15,32.6,1.26,2.97,13,17.2,4.74
16,69.4,1.53,15.4,43.2,11.3,0.16
17,42.7,0.77,4.23,17.7,21.9,7.69
18,58.1,9.51,31.6,25.5,1.48,0.25
19,49.2,3.33,18.3,18.3,13.3,0.83
20,48.1,0.71,4.71,18.6,25.8,3.88
21,48.3,0.69,5.56,23.6,19.4,4.44
22,60,0.77,8.46,29.2,24.6,0.77
23,47.2,1.05,9.53,22.7,15.1,1.86
24,34.3,1.25,4.75,11,19,4.25
25,62.3,8.48,32.9,27.5,2.53,0.73
26,69.7,3.13,20.3,36.3,13.4,1.25
27,66,2,14,26,28,4
28,59.8,1.27,12.9,34.1,13.6,0.63
29,41.8,0.5,6.25,19.6,17.3,2.06
30,50.5,6.32,26,23.3,1.58,1.05
31,69.3,3.38,17.6,33.1,18.7,2.06
32,85,0,10,60,15,10
33,43.5,1.16,8.97,25,10.3,1.42
34,90,0,15,40,35,0
35,49.7,1.4,9.25,27.1,14.2,2.37
36,60.3,8.7,31.6,27.8,1.35,0.45
37,68.5,2.4,14.8,31.2,23.6,1.47
38,61.8,3.56,19,22.2,21.5,2.48
39,58.7,6.14,29.5,26.1,3.95,0.44
40,48.5,5.29,21.6,19.6,7.53,1.06
41,39.1,0.93,3.6,20,15.8,5.81
42,44.6,0.77,2.69,23.5,18.8,5.38
43,88.6,5.17,32.7,49.7,6.43,1.4
44,98.4,4.53,31.8,56.8,10.2,1.56
45,53.2,3.24,17.5,23.7,13.1,1.52
46,47.9,1.43,7.14,19.3,22.1,3.21
47,45.8,3.08,10.4,30.8,5,0
48,47,2.09,12.5,25.7,9.7,1.49
49,60.6,5.18,25.8,29.8,5.61,1.14
50,61.8,6.38,24.7,26.2,11.3,0.86
51,45.2,1.2,8,27.2,10,0.4
52,33.2,3.57,5.71,12.9,15.7,5.71
53,103.4,1.84,18.3,55.6,30,2.14
54,75,1.11,9.32,42.1,24,1.79
55,70.8,9.41,35,34.3,2.01,0.24
56,66.9,2.31,12.7,23.8,30.8,1.92
57,87.7,3.2,20.1,54.8,13.1,0.55
58,46,2,9.33,22.7,15.3,2.67
59,51.6,2.68,13.3,31.5,7.32,1.07
60,56.1,4.86,23,29.4,4.43,1.29
61,38.1,1.98,7.9,11.4,19.1,1.73
62,31.6,24,31.6,0,0,0
63,45.6,0.8,6.6,27.2,12.3,0.86
64,97.5,3.06,22.4,48.8,26.8,1.69
65,10,0,0,5,5,0
66,52.4,0.96,12.8,32.7,7.11,0.84
67,39.7,0.57,6,13.7,22,3.71
68,56.4,0,9.29,32.1,15.7,2.14
69,39.5,30.6,38.5,1.1,0,0
70,43.8,1.47,8.9,18.9,16.9,3.16
71,50,0,2.5,20,27.5,5
72,59,1.22,8.92,28.9,22,0.79
73,47.3,0.79,5.05,15.2,27.9,4.46
74,89.3,6.81,31.4,52.6,5.36,0.72
75,62.2,2.74,14.7,33.5,14.4,0.95
76,50,3.33,28.3,16.7,5,0
77,0,0,0,0,0,0
78,42.4,3.33,16.3,22.2,4.13,0.63
79,40.9,0.47,2.03,16.4,22.8,5.63
80,36.1,1.21,3.33,16.7,16.7,3.33
81,64.4,6.15,26.5,35.6,2.93,0.63
82,49.3,11.8,31.8,15.8,2,0.44
83,71.8,10.5,37.1,32.2,2.63,0.33
84,34.7,1.09,3.82,11.8,19.6,2.73
85,56.2,3.81,15.7,31,10.5,0.48
86,50.2,4.79,20.3,18.6,11.5,1.37
87,33.3,15,28.3,6.67,0,0
88,58,4.77,32.3,21.6,4.66,1.36
89,53.7,1.13,8.45,31,14.8,1.13
90,59.8,4.7,22.6,31.3,6.62,0.86
