Team_ID,Team,Comp
10001,Ajaccio,Ligue 1
10002,Almería,La Liga
10003,Angers,Ligue 1
10004,Arsenal,Premier League
10005,Aston Villa,Premier League
10006,Atalanta,Serie A
10007,Athletic Club,La Liga
10008,Atlético Madrid,La Liga
10009,Augsburg,Bundesliga
10010,Auxerre,Ligue 1
10011,Barcelona,La Liga
10012,Bayern Munich,Bundesliga
10013,Betis,La Liga
10014,Bochum,Bundesliga
10015,Bologna,Serie A
10016,Bournemouth,Premier League
10017,Brentford,Premier League
10018,Brest,Ligue 1
10019,Brighton,Premier League
10020,Cádiz,La Liga
10021,Celta Vigo,La Liga
10022,Chelsea,Premier League
10023,Clermont Foot,Ligue 1
10024,Cremonese,Serie A
10025,Crystal Palace,Premier League
10026,Dortmund,Bundesliga
10027,Eint Frankfurt,Bundesliga
10028,Elche,La Liga
10029,Empoli,Serie A
10030,Espanyol,La Liga
10031,Everton,Premier League
10032,Fiorentina,Serie A
10033,Freiburg,Bundesliga
10034,Fulham,Premier League
10035,Getafe,La Liga
10036,Girona,La Liga
10037,Hellas Verona,Serie A
10038,Hertha BSC,Bundesliga
10039,Hoffenheim,Bundesliga
10040,Inter,Serie A
10041,Juventus,Serie A
10042,Köln,Bundesliga
10043,Lazio,Serie A
10044,Lecce,Serie A
10045,Leeds United,Premier League
10046,Leicester City,Premier League
10047,Lens,Ligue 1
10048,Leverkusen,Bundesliga
10049,Lille,Ligue 1
10050,Liverpool,Premier League
10051,Lorient,Ligue 1
10052,Lyon,Ligue 1
10053,Mainz 05,Bundesliga
10054,Mallorca,La Liga
10055,Manchester City,Premier League
10056,Manchester Utd,Premier League
10057,Marseille,Ligue 1
10058,M'Gladbach,Bundesliga
10059,Milan,Serie A
10060,Monaco,Ligue 1
10061,Montpellier,Ligue 1
10062,Monza,Serie A
10063,Nantes,Ligue 1
10064,Napoli,Serie A
10065,Newcastle Utd,Premier League
10066,Nice,Ligue 1
10067,Nott'ham Forest,Premier League
10068,Osasuna,La Liga
10069,Paris S-G,Ligue 1
10070,Rayo Vallecano,La Liga
10071,RB Leipzig,Bundesliga
10072,Real Madrid,La Liga
10073,Real Sociedad,La Liga
10074,Reims,Ligue 1
10075,Rennes,Ligue 1
10076,Roma,Serie A
10077,Salernitana,Serie A
10078,Sampdoria,Serie A
10079,Sassuolo,Serie A
10080,Schalke 04,Bundesliga
10081,Sevilla,La Liga
10082,Southampton,Premier League
10083,Spezia,Serie A
10084,Strasbourg,Ligue 1
10085,Stuttgart,Bundesliga
10086,Torino,Serie A
10087,Tottenham,Premier League
10088,Toulouse,Ligue 1
10089,Troyes,Ligue 1
10090,Udinese,Serie A
10091,Union Berlin,Bundesliga
10092,Valencia,La Liga
10093,Valladolid,La Liga
10094,Villarreal,La Liga
10095,Werder Bremen,Bundesliga
10096,West Ham,Premier League
10097,Wolfsburg,Bundesliga
10098,Wolves,Premier League
